name,fuel,capacity_mw,owner,note
Phú Mỹ 2.2,Tuabin khí,720,Công ty TNHH Năng Lượng Mê Kông,BOT
Phú Mỹ 3,Tuabin khí,720,Công ty TNHH BOT Phú Mỹ 3,BOT
Phú Mỹ 4,Tuabin khí,440,Công ty Nhiệt điện Phú Mỹ,
Pleikrông,Thủy điện,100,Công ty Thuỷ điện Ialy,Supporting SMHP
Quảng Ninh,NĐ Than,1200,Công ty CP Nhiệt điện Quảng Ninh,
Quảng Trị,Thủy điện,64,Công ty Thủy điện Quảng Trị,
Sê San 3,Thủy điện,260,Công ty Thuỷ điện Ialy,Supporting SMHP
Sê San 3A,Thủy điện,108,Công ty CP ĐT và PT điện SêSan 3A,Same level SMHP and supporting SMHP
Sê San 4,Thủy điện,360,Công ty Phát triển Thuỷ điện Sê San,Supporting SMHP
Sê San 4A,Thủy điện,63,Công ty CP Thủy điện Sê San 4A,Same level SMHP and supporting SMHP
Sơn Động,NĐ Than,220,Công ty Nhiệt điện Sơn Động,
Sơn La,Thủy điện,2400,Công ty Thuỷ điện Sơn La,Strategic importance (SMHP)
Sông Ba Hạ,Thủy điện,220,Công ty CP Thủy điện Sông Ba Hạ,
Sông Bạc,Thủy điện,42,Công ty CP Thủy điện Sông Bạc,
Sông Bung 2,Thủy điện,100,Công ty CP Thủy điện Sông Bung,
Sông Bung 4,Thủy điện,156,Công ty CP Thủy điện Sông Bung,
Sông Bung 4A,Thủy điện,49,Công ty CP Phú Thạnh Mỹ,
Sông Bung 5,Thủy điện,57,Công ty CP Tư vấn Xây dựng Điện 1,
Sông Côn 2,Thủy điện,63,Công ty CP Thủy điện Geruco Sông Côn,
Sông Giang 2,Thủy điện,37,Công ty CP khai thác thủy điện Sông Giang,Expected to enter market in 2024
Sông Hinh,Thủy điện,70,Công ty CP Thủy điện Vĩnh Sơn – Sông Hinh,
Sông Tranh 2,Thủy điện,190,Công ty Thủy điện Sông Tranh,
Sông Tranh 3,Thủy điện,62,Công ty CP Thủy điện Sông Tranh 3,
Srêpok 3,Thủy điện,220,Công ty Thủy điện Buôn Kuôp,
Srêpok 4,Thủy điện,80,Công ty CP Đầu tư và Phát triển điện Đại Hải,
Srêpok 4A,Thủy điện,64,Công ty CP Thủy điện Buôn Đôn,
Srok Phu Miêng,Thủy điện,51,Công ty CP Thủy điện Srok Phu Miêng IDICO,
Sử Pán 2,Thủy điện,34,Công ty CP Thủy điện Sông Đà – Hoàng Liên,
Tà Thàng,Thủy điện,60,Công ty CP Điện Vietracimex Lào Cai,NHÀ MÁY ĐIỆN DỰ KIẾN CHUYỂN NỐI LƯỚI MUA ĐIỆN NƯỚC NGOÀI
Thác Bà,Thủy điện,120,Công ty CP Thủy điện Thác Bà,
Thác Mơ,Thủy điện,150,Công ty CP Thủy điện Thác Mơ,
Thác Mơ MR,Thủy điện,75,Tập đoàn Điện lực Việt Nam,Expected to enter market in 2025
Thái An,Thủy điện,82,Công ty CP Thủy điện Thái An,
Thái Bình 1,NĐ Than,600,Công ty Nhiệt điện Thái Bình,
Thăng Long,NĐ Than,620,Công ty CP Nhiệt điện Thăng Long,Expected to enter market in 2026
Thuận Hòa,Thủy điện,42,Công ty CP Thủy điện Thuận Hòa Hà Giang,
Thượng KonTum,Thủy điện,220,Công ty CP Thủy điện Vĩnh Sơn – Sông Hinh,Expected to enter market in 2027
Trị An,Thủy điện,400,Công ty Thuỷ điện Trị An,Strategic importance (SMHP)
Trung Sơn,Thủy điện,260,Công ty Thủy điện Trung,
Tuyên Quang,Thủy điện,342,Công ty Thuỷ điện Tuyên Quang,Strategic importance (SMHP)
Uông Bí MR,NĐ Than,630,Công ty Nhiệt điện Uông Bí,
Văn Chấn,Thủy điện,57,Công ty CP Thủy điện Văn Chấn,
Vĩnh Sơn,Thủy điện,66,Công ty CP Thủy điện Vĩnh Sơn – Sông Hinh,
Vĩnh Tân 1,NĐ Than,1200,Công ty TNHH Điện lực Vĩnh Tân 1,BOT
Vĩnh Tân 2,NĐ Than,1245.6,Công ty Nhiệt điện Vĩnh Tân,
Vĩnh Tân 4,NĐ Than,1200,Công ty Nhiệt điện Vĩnh Tân,
Vĩnh Tân 4 MR,NĐ Than,600,Ban QLDA Nhiệt điện Vĩnh Tân,Expected to enter market in 2028
Vũng Áng 1,NĐ Than,1200,Công ty Điện lực Dầu khí Hà Tĩnh,
